site, instr, year, adjust_start, adjust_val
EGP, 1, 2017, 138, 0.5
EGP, 1, 2018, 150, 0.6
EGP, 1, 2019, 151, 0.4
EGP, 2, 2019, 152, 0.18
KAN_L, 2, 2011, 154, -3
KAN_L, 2, 2013, 258, -2.2
KAN_L, 2, 2015, 258, -2
KAN_L, 2, 2019, 248, -5
KAN_M, 2, 2012, 120, -1
KAN_M, 2, 2019, 249, -1.8
KAN_U, 1, 2015, 125, 1.9
KAN_U, 2, 2012, 240, -0.5
KAN_U, 2, 2014, 210, 1.2
KAN_U, 2, 2018, 240, 1
KPC_U, 1, 2012, 203, 0.3
KPC_U, 1, 2019, 183, -0.5
KPC_U, 1, 2019, 188, 1
KPC_U, 2, 2012, 205, -0.2
MIT, 2, 2009, 225, -3.2
MIT, 2, 2012, 250, -2
MIT, 2, 2014, 220, -1
NUK_K, 1, 2017, 185, -0.7
NUK_L, 1, 2014, 210, 0.25
NUK_L, 2, 2010, 210, -2.5
NUK_L, 2, 2017, 185, -2
NUK_U, 2, 2011, 160, -0.8
NUK_U, 2, 2011, 230, -1
NUK_U, 2, 2012, 240, -4
NUK_U, 2, 2018, 210, -2
NUK_U, 2, 2017, 185, -2.5
QAS_L, 2, 2010, 200, -3.5
QAS_L, 2, 2012, 230, -4
QAS_L, 2, 2014, 235, -3.5
QAS_L, 2, 2015, 235, -2.5
QAS_L, 2, 2019, 240, -2
QAS_M, 2, 2019, 245, -2
QAS_U, 1, 2012, 230, 1
QAS_U, 1, 2015, 235, 1
QAS_U, 2, 2010, 200, -2
QAS_U, 2, 2011, 227, -2
QAS_U, 2, 2013, 230, -0.5
QAS_U, 2, 2015, 235, -1
QAS_U, 2, 2019, 245, -2
SCO_L, 2, 2010, 200, -3
SCO_L, 2, 2012, 175,-2
SCO_L, 2, 2012, 210, 2
SCO_L, 2, 2012, 225, -4
SCO_L, 2, 2019, 225, -6
SCO_U, 2, 2009, 225, -2
TAS_A, 2, 2016, 225, -3
TAS_L, 2, 2011, 224, -3
TAS_L, 2, 2013, 240, -2.5
TAS_L, 2, 2012, 249, -2
TAS_L, 2, 2014, 218, -2.3
UPE_L, 1, 2018, 220, -2
UPE_L, 2, 2012, 228, -2
UPE_L, 2, 2013, 215, -1.7
UPE_L, 2, 2015, 215, -3.5
UPE_L, 2, 2017, 238, -1.3
UPE_U, 2, 2011, 175, -2.5
UPE_U, 2, 2012, 225, -3.1
UPE_U, 2, 2013, 219, -1




